YEAR,TRIAL_SHORT,LOC_SHORT,TRT,REPS,SAMPLING,TRIAL_CODE
25,NxV,AB,56,4,"F114_SSC, F030_CCP, F105_BS, F114_BS, F114_S+C, F114_GR, WP, HD, ST, GR, CB",9999
25,NxV,BE.S,56,3,"F114_SSC, F030_CCP, F105_BS, F114_BS, F114_GR",9999
25,NxV,HAYS,56,4,"F114_SSC, F030_CCP, F105_BS, F114_BS, F114_GR",9999
25,NxV,HOI,56,4,"F114_SSC, F030_CCP, F105_BS, F114_BS",9999
25,NxV,HUT.O,56,4,"F114_SSC, F105_BS, F114_BS, F114_GR",9999
25,NxV,MNH,56,3,"F114_SSC, F105_BS, F114_BS",9999
25,NxV,RUS,56,4,"F114_SSC, F030_CCP, F105_BS, F114_BS",9999
24,NxV,AB,56,3,PLOT,9999
24,NxV,BE.S,56,3,PLOT,9999
24,NxV,MNH,56,3,PLOT,9999
24,NxV,HAYS,56,4,"WP, HD, ST, GR, CB",9999
24,NxV,HOI,56,4,"WP, HD, ST, GR, CB",9999
24,NxV,MCP,56,4,"WP, HD, ST, GR, CB",9999
24,NxV,PHG,56,4,"WP, HD, ST, GR, CB",9999
26,DEMO,AB,20,4,"F114_WP, F114_HD, F114_ST, F114_GR, F114_CB",9999
